bowler,batsman,times
PP Chawla,JJ Roy,1
Kuldeep Yadav,BB McCullum,1
Kuldeep Yadav,AJ Finch,1
TA Boult,KD Karthik,1
Rashid Khan,BB McCullum,1
B Kumar,JJ Roy,1
Rashid Khan,AJ Finch,2
Rashid Khan,SK Raina,1
B Kumar,DR Smith,2
A Nehra,KD Karthik,1
A Nehra,DS Kulkarni,1
SN Thakur,DR Smith,1
RD Chahar,BB McCullum,1
Imran Tahir,KD Karthik,2
MJ McClenaghan,DR Smith,1
Harbhajan Singh,SK Raina,1
SL Malinga,BB McCullum,2
MJ McClenaghan,Ishan Kishan,1
YS Chahal,DR Smith,2
YS Chahal,SK Raina,2
P Negi,AJ Finch,2
S Aravind,KD Karthik,1
YS Chahal,BB McCullum,2
TM Head,RA Jadeja,1
AF Milne,Ishan Kishan,1
NM Coulter-Nile,AJ Finch,1
CR Woakes,BB McCullum,1
NM Coulter-Nile,KD Karthik,1
Kuldeep Yadav,Ishan Kishan,1
UT Yadav,DR Smith,1
Kuldeep Yadav,SK Raina,1
Sandeep Sharma,BB McCullum,2
MM Sharma,AJ Finch,1
AR Patel,SK Raina,1
KC Cariappa,RA Jadeja,1
AR Patel,DR Smith,2
KC Cariappa,AD Nath,1
Sandeep Sharma,AJ Tye,1
S Badree,Ishan Kishan,1
S Badree,BB McCullum,1
JJ Bumrah,SK Raina,2
SL Malinga,AJ Finch,1
KH Pandya,KD Karthik,2
Harbhajan Singh,Ishan Kishan,1
KH Pandya,RA Jadeja,1
KH Pandya,IK Pathan,1
JJ Bumrah,AJ Tye,1
JJ Bumrah,JP Faulkner,1
Imran Tahir,Ishan Kishan,2
Imran Tahir,SK Raina,1
Imran Tahir,AJ Finch,1
Imran Tahir,DR Smith,2
SN Thakur,BB McCullum,1
DT Christian,RA Jadeja,1
JD Unadkat,JP Faulkner,1
JD Unadkat,PJ Sangwan,1
JD Unadkat,KD Karthik,1
JD Unadkat,Ankit Soni,1
K Rabada,BB McCullum,1
K Rabada,DR Smith,1
Mohammed Shami,SK Raina,1
PJ Cummins,KD Karthik,1
PJ Cummins,Ishan Kishan,1
K Rabada,AJ Finch,1
CJ Anderson,JP Faulkner,1
T Natarajan,Ishan Kishan,1
GJ Maxwell,DR Smith,1
Sandeep Sharma,SK Raina,1
Sandeep Sharma,AJ Finch,1
Mohammed Shami,DR Smith,1
PJ Cummins,SK Raina,1
A Mishra,Ishan Kishan,1
CR Brathwaite,KD Karthik,1
Mohammed Shami,AJ Finch,1
Rashid Khan,DR Smith,1
Mohammed Siraj,Ishan Kishan,1
Mohammed Siraj,SK Raina,1
Rashid Khan,KD Karthik,1
Mohammed Siraj,JP Faulkner,1
Mohammed Siraj,PJ Sangwan,1
S Kaul,Ankit Soni,1
B Kumar,P Kumar,1
B Kumar,MM Patel,1
MP Stoinis,SK Raina,1
P Sahu,AJ Finch,1
MG Johnson,RA Jadeja,1
MG Johnson,Ishan Kishan,1
M Ashwin,AJ Finch,1
I Sharma,BB McCullum,1
M Ashwin,SK Raina,1
JJ Bumrah,BB McCullum,1
MJ McClenaghan,SK Raina,1
JJ Bumrah,DJ Bravo,1
MJ McClenaghan,AD Nath,1
MJ McClenaghan,JP Faulkner,1
MJ McClenaghan,P Kumar,1
B Kumar,AJ Finch,1
Bipul Sharma,BB McCullum,2
DJ Hooda,KD Karthik,1
BB Sran,DJ Bravo,2
Mustafizur Rahman,RA Jadeja,2
B Kumar,SK Raina,2
B Kumar,AD Nath,1
B Kumar,DW Steyn,1
KW Richardson,DR Smith,1
T Shamsi,BB McCullum,1
SR Watson,RA Jadeja,2
CH Morris,BB McCullum,1
CH Morris,SK Raina,1
JP Duminy,RA Jadeja,1
R Bhatia,BB McCullum,1
NLTC Perera,DR Smith,1
AB Dinda,KD Karthik,1
AB Dinda,DJ Bravo,1
AB Dinda,RA Jadeja,1
NLTC Perera,SK Raina,1
NLTC Perera,Ishan Kishan,1
MM Sharma,BB McCullum,1
MM Sharma,SK Raina,1
AR Patel,KD Karthik,1
AR Patel,DJ Bravo,1
AR Patel,RA Jadeja,1
MP Stoinis,Ishan Kishan,1
MM Sharma,P Kumar,1
Sandeep Sharma,JP Faulkner,1
Z Khan,BB McCullum,1
S Nadeem,DR Smith,1
S Nadeem,AJ Finch,1
A Mishra,SK Raina,1
Mohammed Shami,KD Karthik,1
CH Morris,JP Faulkner,1
Mohammed Shami,Ishan Kishan,1
Mustafizur Rahman,KD Karthik,1
MC Henriques,BB McCullum,1
Shakib Al Hasan,DR Smith,1
PP Chawla,BB McCullum,1
AD Russell,SK Raina,1
GB Hogg,KD Karthik,1
PP Chawla,AJ Finch,1
S Aravind,DR Smith,1
CJ Jordan,KD Karthik,2
CJ Jordan,RA Jadeja,1
YS Chahal,DJ Bravo,1
YS Chahal,AD Nath,1
CJ Jordan,P Kumar,2
CJ Jordan,DS Kulkarni,2
Sachin Baby,AJ Finch,1
Sachin Baby,S Kaushik,1
AS Rajpoot,DR Smith,1
SP Narine,BB McCullum,1
M Morkel,KD Karthik,1
SP Narine,AJ Finch,1
R Vinay Kumar,AJ Finch,1
Harbhajan Singh,BB McCullum,1
R Vinay Kumar,KD Karthik,1
Iqbal Abdulla,BB McCullum,1
